Date,StartTime,AllDay,Title,Location
2025-11-09,10:00 AM,False,FIT: Cycle,Wilson
2025-11-09,10:10 AM,False,05 Brodie Weekend Lap Swim,Brodie
2025-11-09,11:10 AM,False,05 Brodie Weekend Lap Swim,Brodie
2025-11-09,12:00 PM,False,FIT: Muscle Pump,Wilson
2025-11-09,1:00 PM,False,FIT: Stretch & Recovery,Wilson
2025-11-09,5:00 PM,False,FIT: Cycle,Wilson
2025-11-10,6:00 AM,False,FIT: Cycle,Wilson
2025-11-10,7:10 AM,False,00 Brodie Morning Lap Swim,Brodie
2025-11-10,8:00 AM,False,FIT: Muscle Pump,Wilson
2025-11-10,8:10 AM,False,00 Brodie Morning Lap Swim,Brodie
2025-11-10,9:00 AM,False,FIT: Cycle,Wilson
2025-11-10,9:00 AM,False,FIT: Pilates,Wilson
2025-11-10,3:00 PM,False,FIT: Xtrain,Wilson
2025-11-10,5:15 PM,False,FIT: Muscle Pump,Brodie
2025-11-10,5:15 PM,False,FIT: Line Dance Burn,Wilson
2025-11-10,5:30 PM,False,CHK00: Duke Aquatics Academy Youth Lesson Check-In,
2025-11-10,5:30 PM,False,FIT: Cycle,Wilson
2025-11-10,6:15 PM,False,FIT: Pilates,Wilson
2025-11-10,6:30 PM,False,FIT: Yoga,Wilson
2025-11-10,6:30 PM,False,FIT: Cycle,Wilson
2025-11-10,7:30 PM,False,CHK03: Brodie Freestyle and Backstroke Check-In,Brodie
2025-11-10,7:30 PM,False,Fall 2025 - AQLTSA1: Adult Get Your Feet Wet - Get Your Feet Wet 2025 NOV 3- DEC 3 M/W 7:30-8:15pm Brodie,
2025-11-10,7:30 PM,False,CHK01: Brodie Get your Feet Wet Check-In,Brodie
2025-11-11,6:00 AM,False,FIT: Cycle,Wilson
2025-11-11,7:30 AM,False,FIT: Yoga,Wilson
2025-11-11,9:00 AM,False,FIT: Cycle,Wilson
2025-11-11,3:00 PM,False,FIT: Cycle,Wilson
2025-11-11,5:15 PM,False,FIT: Dance Cardio,Wilson
2025-11-11,5:15 PM,False,FIT: Yoga,Brodie
2025-11-11,5:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-11,5:30 PM,False,FIT: Xtrain,Wilson
2025-11-11,5:30 PM,False,FIT: Cycle,Wilson
2025-11-11,6:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-11,6:30 PM,False,FIT: Muscle Pump,Wilson
2025-11-11,6:30 PM,False,FIT: Cycle,Wilson
2025-11-11,7:00 PM,False,FIT: Yoga,Wilson
2025-11-11,7:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-11,7:30 PM,False,FIT: Cycle,Wilson
2025-11-11,8:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-12,7:00 AM,False,FIT: Cycle,Wilson
2025-11-12,7:30 AM,False,FIT: Yoga,Wilson
2025-11-12,9:00 AM,False,FIT: Cycle,Wilson
2025-11-12,9:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-12,10:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-12,11:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-12,3:00 PM,False,FIT: Cycle,Wilson
2025-11-12,5:15 PM,False,FIT: Yoga,Brodie
2025-11-12,5:30 PM,False,CHK00: Duke Aquatics Academy Youth Lesson Check-In,
2025-11-12,5:30 PM,False,FIT: Cycle,Wilson
2025-11-12,5:30 PM,False,Fall 2025 - AQDAA6:Duke Aquatics Academy-ANGELFISH (Ages 6-12) - Angelfish 2025 NOV 3- DEC 3 M/W 5:30-6:00pm Brodie,
2025-11-12,5:30 PM,False,Fall 2025 - AQDAA3:Duke Aquatics Academy-GUPPIES (Ages 3-5) - Guppies 2025 NOV 3 - DEC 3 M/W 5:30-6:00pm Brodie,
2025-11-12,5:30 PM,False,Fall 2025 - AQDAA4:Duke Aquatics Academy-GOLDFISH (Ages 3-5) - Goldfish 2025 NOV 3- DEC 3 M/W 5:30-6:00pm Brodie,
2025-11-12,5:30 PM,False,Fall 2025 - AQDAA2:Duke Aquatics Academy-MINNOWS (Ages 3-5) - Minnows 2025 NOV 3- DEC 3 M/W 5:30-6:00pm Brodie,
2025-11-12,5:30 PM,False,Fall 2025 - AQDAA7:Duke Aquatics Academy-OTTERS (Ages 6-12) - Otters 2025 NOV 3 - DEC 3 M/W 5:30-6:00pm Brodie,
2025-11-12,6:10 PM,False,Fall 2025 - AQDAA4:Duke Aquatics Academy-GOLDFISH (Ages 3-5) - Goldfish 2025 NOV 3- DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,6:10 PM,False,Fall 2025 - AQDAA6:Duke Aquatics Academy-ANGELFISH (Ages 6-12) - Angelfish 2025 NOV 3- DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,6:10 PM,False,Fall 2025 - AQDAA7:Duke Aquatics Academy-OTTERS (Ages 6-12) - Otters 2025 NOV 3 - DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,6:10 PM,False,Fall 2025 - AQDAA3:Duke Aquatics Academy-GUPPIES (Ages 3-5) - Guppies 2025 NOV 3-DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,6:10 PM,False,Fall 2025 - AQDAA2:Duke Aquatics Academy-MINNOWS (Ages 3-5) - Minnows 2025 NOV 3- DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,6:15 PM,False,FIT: Pilates,Wilson
2025-11-12,6:15 PM,False,FIT: Cardio Kickboxing,Brodie
2025-11-12,6:15 PM,False,FIT: Hip Hop Cardio Dance,Wilson
2025-11-12,6:30 PM,False,FIT: Cycle,Wilson
2025-11-12,6:50 PM,False,Fall 2025 - AQDAA7:Duke Aquatics Academy-OTTERS (Ages 6-12) - Otters 2025 NOV 3 - DEC 3 M/W 6:50-7:20pm Brodie,
2025-11-12,6:50 PM,False,Fall 2025 - AQDAA5:Duke Aquatics Academy-SUNFISH (Ages 6-12) - Sunfish 2025 NOV 3- DEC 3 M/W 6:50-7:20pm Brodie,
2025-11-12,6:50 PM,False,Fall 2025 - AQDAA8:Duke Aquatics Academy-DOLPHINS (Ages 6-12) - Dolphins 2025 NOV 3- DEC 3 M/W 6:50-7:20pm Brodie,
2025-11-12,6:50 PM,False,Fall 2025 - AQDAA3:Duke Aquatics Academy-GUPPIES (Ages 3-5) - Guppies 2025 NOV 3-DEC 3 M/W 6:50-7:20pm Brodie,
2025-11-12,6:50 PM,False,Fall 2025 - AQDAA2:Duke Aquatics Academy-MINNOWS (Ages 3-5) - Minnows 2025 NOV 3- DEC 3 M/W 6:10-6:40pm Brodie,
2025-11-12,7:30 PM,False,Fall 2025 - AQLTSA2: Adult Freestyle & Backstroke - Freestyle/Backstroke 2025 NOV 3- DEC 3 M/W 7:30-8:15pm Brodie,
2025-11-12,7:30 PM,False,CHK03: Brodie Freestyle and Backstroke Check-In,Brodie
2025-11-12,7:30 PM,False,Fall 2025 - AQLTSA1: Adult Get Your Feet Wet - Get Your Feet Wet 2025 NOV 3- DEC 3 M/W 7:30-8:15pm Brodie,
2025-11-12,7:30 PM,False,CHK01: Brodie Get your Feet Wet Check-In,Brodie
2025-11-12,8:30 PM,False,CHK26: Brodie Sport Club Swim Check-In (Weekday),Brodie
2025-11-13,7:00 AM,False,FIT: Cycle,Wilson
2025-11-13,7:10 AM,False,00 Brodie Morning Lap Swim,Brodie
2025-11-13,8:10 AM,False,00 Brodie Morning Lap Swim,Brodie
2025-11-13,8:30 AM,False,FIT: Yoga,Wilson
2025-11-13,9:00 AM,False,FIT: Cycle,Wilson
2025-11-13,9:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-13,10:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-13,11:50 AM,False,CHK30: Swim for Charlie Check-In,
2025-11-13,3:00 PM,False,FIT: Cycle,Wilson
2025-11-13,3:00 PM,False,FIT: Muscle Pump,Wilson
2025-11-13,4:00 PM,False,FIT: Pilates,Wilson
2025-11-13,5:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-13,5:30 PM,False,FIT: Cycle,Wilson
2025-11-13,6:15 PM,False,FIT: Hip Hop Cardio Dance,Wilson
2025-11-13,6:15 PM,False,FIT: Pilates,Wilson
2025-11-13,6:30 PM,False,03 Brodie Evening Lap Swim,Brodie
2025-11-13,6:30 PM,False,FIT: Cycle,Wilson
2025-11-13,6:30 PM,False,FIT: Yoga,Brodie
2025-11-13,6:30 PM,False,FIT: Xtrain,Wilson
2025-11-13,7:15 PM,False,"Fall 2025 - FIT: Learn 2 Lift: Free Weight Foundations - L2L: Free Weight Foundations: 10/28-11/13,",
2025-11-13,7:30 PM,False,03 Brodie Evening Lap Swim,Brodie
